angle,mode,regime,optimizer,n_images,rel_err_direct_mean,rel_err_direct_std,rel_err_procrustes_mean,rel_err_procrustes_std,rot_mat_err_fro_mean,rot_mat_err_fro_std,rot_geodesic_deg_mean,rot_geodesic_deg_std
205,resampled_image,random,gd,8,0.361612,0.105754,0.365165,0.115609,0.0533837,0.028241,2.16296,1.14445
215,rotated_directions,full_image,adam,8,0.758981,0.115189,0.743341,0.100314,0.352591,0.171292,14.3485,7.02239
215,rotated_directions,full_image,gd,8,0.040423,0.0468443,0.0403132,0.0469483,0.00778322,0.00832995,0.31586,0.337098
215,rotated_directions,random,adam,8,0.813916,0.0877004,0.798187,0.0823108,0.33844,0.371999,13.9201,15.5527
215,rotated_directions,random,gd,8,0.393592,0.131774,0.396736,0.134738,0.0470965,0.0158764,1.90822,0.643308
215,resampled_image,full_image,adam,8,0.760083,0.125277,0.745755,0.110674,0.347703,0.182764,14.1537,7.50693
215,resampled_image,full_image,gd,8,0.169237,0.0847467,0.169644,0.0865226,0.0235874,0.0173421,0.955731,0.702637
215,resampled_image,random,adam,8,0.796035,0.10781,0.773799,0.101642,0.382403,0.312436,15.6727,13.0812
215,resampled_image,random,gd,8,0.36319,0.121932,0.363377,0.121103,0.0491082,0.0333115,1.98986,1.34995
225,rotated_directions,full_image,adam,8,0.785571,0.119196,0.782343,0.116391,0.368621,0.15667,14.9989,6.41653
225,rotated_directions,full_image,gd,8,0.0517794,0.0556174,0.0519357,0.0560699,0.0072701,0.00526207,0.294978,0.212804
225,rotated_directions,random,adam,8,0.828183,0.101473,0.817826,0.113205,0.264459,0.15511,10.7454,6.32171
225,rotated_directions,random,gd,8,0.341845,0.131224,0.343322,0.136072,0.0541691,0.0360623,2.19498,1.46154
225,resampled_image,full_image,adam,8,0.784927,0.119803,0.781311,0.117159,0.368163,0.156371,14.9801,6.40461
225,resampled_image,full_image,gd,8,0.0525243,0.0473775,0.0521318,0.0470111,0.00851199,0.00613499,0.345174,0.248313
225,resampled_image,random,adam,8,0.791055,0.0805991,0.793156,0.0824039,0.273516,0.160619,11.1162,6.55567
225,resampled_image,random,gd,8,0.350967,0.116209,0.350907,0.11885,0.0670965,0.0363908,2.71888,1.47509
235,rotated_directions,full_image,adam,8,0.778545,0.101807,0.776626,0.131606,0.368927,0.265923,15.0588,10.9421
235,rotated_directions,full_image,gd,8,0.04051,0.0314506,0.0402654,0.0312154,0.00669914,0.00436716,0.271427,0.176926
235,rotated_directions,random,adam,8,0.813053,0.10816,0.82292,0.12281,0.322569,0.233437,13.1478,9.60018
235,rotated_directions,random,gd,8,0.358551,0.13629,0.363004,0.149625,0.0432517,0.0211308,1.75242,0.856215
235,resampled_image,full_image,adam,8,0.773051,0.0912617,0.769146,0.111773,0.343116,0.24555,13.9885,10.074
235,resampled_image,full_image,gd,8,0.161213,0.0320747,0.161199,0.0330006,0.0206379,0.0106191,0.836149,0.430241
235,resampled_image,random,adam,8,0.782099,0.0745922,0.79484,0.0881169,0.249889,0.190624,10.1632,7.79299
235,resampled_image,random,gd,8,0.37139,0.116288,0.368755,0.115964,0.0744244,0.0381563,3.01583,1.54647
245,rotated_directions,full_image,adam,8,0.72867,0.0853016,0.725524,0.0916553,0.301328,0.238905,12.2844,9.83345
245,rotated_directions,full_image,gd,8,0.0588366,0.05957,0.0589847,0.060254,0.00886841,0.00629417,0.359605,0.254622
245,rotated_directions,random,adam,8,0.772455,0.0830343,0.79987,0.101746,0.225276,0.128324,9.1452,5.22087
245,rotated_directions,random,gd,8,0.384992,0.16161,0.38719,0.170228,0.0596941,0.0291829,2.41878,1.18275
245,resampled_image,full_image,adam,8,0.725211,0.0818366,0.722209,0.0843682,0.304236,0.235803,12.4016,9.70469
245,resampled_image,full_image,gd,8,0.137367,0.0911701,0.137456,0.0923787,0.0209856,0.0199419,0.850307,0.807993
245,resampled_image,random,adam,8,0.765329,0.0776687,0.777627,0.0863309,0.28613,0.264941,11.6767,10.9073
245,resampled_image,random,gd,8,0.415413,0.131144,0.422396,0.139676,0.0516991,0.0236501,2.09475,0.958384
255,rotated_directions,full_image,adam,8,0.634149,0.0915839,0.613702,0.0890937,0.183681,0.0495263,7.44784,2.00998
255,rotated_directions,full_image,gd,8,0.0445951,0.0387328,0.0443417,0.0386112,0.00963894,0.00953609,0.389196,0.387596
255,rotated_directions,random,adam,8,0.679631,0.0741852,0.687144,0.0791303,0.113445,0.066453,4.59858,2.69572
255,rotated_directions,random,gd,8,0.387287,0.103606,0.38642,0.103553,0.0562742,0.0241909,2.28009,0.980372
255,resampled_image,full_image,adam,8,0.637488,0.0936549,0.618925,0.0918473,0.201958,0.0631929,8.1909,2.56685
